postal_code,postal_code_prefix
PH44,PH
LE13,LE
LE14,LE
WR11,WR
BA8,BA
WR6,WR
CO5,CO
WR10,WR
WR11,WR
CM5,CM
CM6,CM
HR2,HR
ME14,ME
ST13,ST
TD11,TD
PR6,PR
LD1,LD
EX14,EX
EX15,EX
SY4,SY
LA2,LA
CA7,CA
EX22,EX
DE13,DE
ST14,ST
WS15,WS
HP3,HP
WD4,WD
WD5,WD
BS20,BS
BS8,BS
WR7,WR
PE28,PE
WR11,WR
WR5,WR
SO21,SO
SO23,SO
DT3,DT
RH15,RH
EX39,EX
TQ12,TQ
PE19,PE
SG19,SG
SO24,SO
GL3,GL
SO24,SO
SP11,SP
SY7,SY
SY7,SY
S62,S
S64,S
GL14,GL
GL17,GL
SA38,SA
SA44,SA
LD3,LD
SY23,SY
SA40,SA
LL11,LL
LL14,LL
LL57,LL
SY10,SY
SA46,SA
CF44,CF
SY20,SY
IV2,IV
PH2,PH
SA46,SA
CF81,CF
SY15,SY
SY16,SY
NP13,NP
PH11,PH
SA19,SA
LD3,LD
PH7,PH
CF48,CF
NP11,NP
SA62,SA
LL57,LL
SY20,SY
PH35,PH
AB54,AB
EH30,EH
EH52,EH
SA9,SA
SA13,SA
KY10,KY
CF44,CF
SA37,SA
SA43,SA
CF45,CF
SY20,SY
PH1,PH
CF44,CF
LL53,LL
AB10,AB
AB11,AB
AB12,AB
AB13,AB
AB14,AB
AB15,AB
AB16,AB
AB2,AB
AB21,AB
AB22,AB
AB23,AB
AB24,AB
AB25,AB
AB31,AB
AB32,AB
LL54,LL
KY11,KY
KY3,KY
KY4,KY
LL35,LL
SA10,SA
SA11,SA
LD2,LD
SA62,SA
LL53,LL
CF46,CF
CF48,CF
PH15,PH
LL63,LL
LS25,LS
FK8,FK
SA11,SA
NP7,NP
LL22,LL
SA19,SA
LD5,LD
SY25,SY
SA31,SA
SA32,SA
CF32,CF
SA13,SA
LL33,LL
LL36,LL
SY16,SY
SY17,SY
SY19,SY
SY20,SY
CF32,CF
EH32,EH
LD3,LD
DD8,DD
SY20,SY
AB38,AB
SY23,SY
SY23,SY
LL12,LL
SY15,SY
SY16,SY
CF44,CF
CF48,CF
SA33,SA
KY14,KY
PH2,PH
PH14,PH
SA43,SA
SA40,SA
LL53,LL
CF71,CF
NP13,NP
CF37,CF
CF8,CF
CF83,CF
SY10,SY
NP22,NP
PH3,PH
LL16,LL
LD3,LD
SY23,SY
OX13,OX
OX14,OX
RH5,RH
RH5,RH
SG8,SG
ML12,ML
RH20,RH
GL7,GL
SP4,SP
S32,S
S32,S
S33,S
AB34,AB
WA3,WA
WN2,WN
WN7,WN
IV3,IV
IV4,IV
CM16,CM
IG10,IG
IG7,IG
RM4,RM
BS30,BS
NN12,NN
GL13,GL
LN13,LN
HS8,HS
YO23,YO
YO19,YO
YO23,YO
YO8,YO
BB5,BB
PA31,PA
